configuration_name,q,chi1,chi2,theta1_deg,theta2_deg,dphi_deg,spin_geometry,source_file,m_ref,q_surr,a_merger_NR,omega_ref_surrogate,f_ref_surrogate,a_ref_surrogate,theta1_ref,theta2_ref,dphi_ref,mf_surr,chif_mag,Jf_surr,ent_surr,chi1_ref_vec,chi2_ref_vec,chif_surr,methods_saved,PN_orders_saved,latest_run_time,Pade_0PN_model,Pade_0PN_a_max,Pade_0PN_S_max,Pade_0PN_M_at_max,Pade_0PN_J_at_max,Pade_0PN_chi_at_max,Pade_0PN_Ebind_at_max,Pade_0PN_delta_a_signed,Pade_0PN_abs_delta_a,Pade_0PN_cost_Ebind,Pade_0PN_cost_chi,Pade_0PN_nfev_Ebind,Pade_0PN_nfev_chi,Pade_0PN_n_physical_points,Pade_0PN_physical_fraction,Pade_0PN_idx_max,Pade_0PN_flags,Pade_0PN_degree_Ebind,Pade_0PN_degree_chi,Pade_0PN_a_extrap_min,Pade_0PN_a_extrap_max,Pade_0PN_n_extrap,Pade_0PN_fit_params_Ebind,Pade_0PN_fit_params_chi,Pade_0PN_x_center_Ebind,Pade_0PN_x_scale_Ebind,Pade_0PN_x_center_chi,Pade_0PN_x_scale_chi,Pade_1PN_model,Pade_1PN_a_max,Pade_1PN_S_max,Pade_1PN_M_at_max,Pade_1PN_J_at_max,Pade_1PN_chi_at_max,Pade_1PN_Ebind_at_max,Pade_1PN_delta_a_signed,Pade_1PN_abs_delta_a,Pade_1PN_cost_Ebind,Pade_1PN_cost_chi,Pade_1PN_nfev_Ebind,Pade_1PN_nfev_chi,Pade_1PN_n_physical_points,Pade_1PN_physical_fraction,Pade_1PN_idx_max,Pade_1PN_flags,Pade_1PN_degree_Ebind,Pade_1PN_degree_chi,Pade_1PN_a_extrap_min,Pade_1PN_a_extrap_max,Pade_1PN_n_extrap,Pade_1PN_fit_params_Ebind,Pade_1PN_fit_params_chi,Pade_1PN_x_center_Ebind,Pade_1PN_x_scale_Ebind,Pade_1PN_x_center_chi,Pade_1PN_x_scale_chi,Pade_2PN_model,Pade_2PN_a_max,Pade_2PN_S_max,Pade_2PN_M_at_max,Pade_2PN_J_at_max,Pade_2PN_chi_at_max,Pade_2PN_Ebind_at_max,Pade_2PN_delta_a_signed,Pade_2PN_abs_delta_a,Pade_2PN_cost_Ebind,Pade_2PN_cost_chi,Pade_2PN_nfev_Ebind,Pade_2PN_nfev_chi,Pade_2PN_n_physical_points,Pade_2PN_physical_fraction,Pade_2PN_idx_max,Pade_2PN_flags,Pade_2PN_degree_Ebind,Pade_2PN_degree_chi,Pade_2PN_a_extrap_min,Pade_2PN_a_extrap_max,Pade_2PN_n_extrap,Pade_2PN_fit_params_Ebind,Pade_2PN_fit_params_chi,Pade_2PN_x_center_Ebind,Pade_2PN_x_scale_Ebind,Pade_2PN_x_center_chi,Pade_2PN_x_scale_chi,Taylor_0PN_model,Taylor_0PN_a_max,Taylor_0PN_S_max,Taylor_0PN_M_at_max,Taylor_0PN_J_at_max,Taylor_0PN_chi_at_max,Taylor_0PN_Ebind_at_max,Taylor_0PN_delta_a_signed,Taylor_0PN_abs_delta_a,Taylor_0PN_cost_Ebind,Taylor_0PN_cost_chi,Taylor_0PN_nfev_Ebind,Taylor_0PN_nfev_chi,Taylor_0PN_n_physical_points,Taylor_0PN_physical_fraction,Taylor_0PN_idx_max,Taylor_0PN_flags,Taylor_0PN_degree_Ebind,Taylor_0PN_degree_chi,Taylor_0PN_a_extrap_min,Taylor_0PN_a_extrap_max,Taylor_0PN_n_extrap,Taylor_0PN_fit_params_Ebind,Taylor_0PN_fit_params_chi,Taylor_0PN_x_center_Ebind,Taylor_0PN_x_scale_Ebind,Taylor_0PN_x_center_chi,Taylor_0PN_x_scale_chi,Taylor_1PN_model,Taylor_1PN_a_max,Taylor_1PN_S_max,Taylor_1PN_M_at_max,Taylor_1PN_J_at_max,Taylor_1PN_chi_at_max,Taylor_1PN_Ebind_at_max,Taylor_1PN_delta_a_signed,Taylor_1PN_abs_delta_a,Taylor_1PN_cost_Ebind,Taylor_1PN_cost_chi,Taylor_1PN_nfev_Ebind,Taylor_1PN_nfev_chi,Taylor_1PN_n_physical_points,Taylor_1PN_physical_fraction,Taylor_1PN_idx_max,Taylor_1PN_flags,Taylor_1PN_degree_Ebind,Taylor_1PN_degree_chi,Taylor_1PN_a_extrap_min,Taylor_1PN_a_extrap_max,Taylor_1PN_n_extrap,Taylor_1PN_fit_params_Ebind,Taylor_1PN_fit_params_chi,Taylor_1PN_x_center_Ebind,Taylor_1PN_x_scale_Ebind,Taylor_1PN_x_center_chi,Taylor_1PN_x_scale_chi,Taylor_2PN_model,Taylor_2PN_a_max,Taylor_2PN_S_max,Taylor_2PN_M_at_max,Taylor_2PN_J_at_max,Taylor_2PN_chi_at_max,Taylor_2PN_Ebind_at_max,Taylor_2PN_delta_a_signed,Taylor_2PN_abs_delta_a,Taylor_2PN_cost_Ebind,Taylor_2PN_cost_chi,Taylor_2PN_nfev_Ebind,Taylor_2PN_nfev_chi,Taylor_2PN_n_physical_points,Taylor_2PN_physical_fraction,Taylor_2PN_idx_max,Taylor_2PN_flags,Taylor_2PN_degree_Ebind,Taylor_2PN_degree_chi,Taylor_2PN_a_extrap_min,Taylor_2PN_a_extrap_max,Taylor_2PN_n_extrap,Taylor_2PN_fit_params_Ebind,Taylor_2PN_fit_params_chi,Taylor_2PN_x_center_Ebind,Taylor_2PN_x_scale_Ebind,Taylor_2PN_x_center_chi,Taylor_2PN_x_scale_chi
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,nearly_aligned,,1.0,3.333333333333333,3.238770538665084,0.0195,0.0062070427805839,13.803109261762264,0.001,0.001,0.0,0.9700425912136312,0.6144924154671525,0.5782266884645594,10.576769900448854,"[0.00019999996666666834, 0.0, 0.19999990000000833]","[0.00019999996666666834, 0.0, 0.19999990000000833]","[0.0003196205996925887, -2.1741850506907395e-05, 0.6144923319591707]","Padé, Taylor","0PN, 1PN, 2PN",2026-07-02T02:32:33,Padé [2/1],3.7462574625746257,11.193177531943952,0.9763662792738544,0.4721414737904696,0.495275229352649,-0.0236337207261456,0.5074869239095414,0.5074869239095414,3.5356162442212735e-12,4.2736481020710926e-11,4.0,14.0,45132.0,0.45132,96361.0,OK,,,2.0,50.0,100000.0,"[-7.536529249391629e-05, 0.0008575378786573678, -0.09198217608277787, 0.04518058098472969]","[232.43778231476813, 151.71735926059458, 77.35265425152322, 1293.4476730339593]",,,,,Padé [2/1],3.129931299312993,10.599368525566025,0.9828318089203224,0.6428517028405976,0.6655066371207085,-0.0171681910796774,-0.1088392393520911,0.1088392393520911,7.796363554746222e-10,1.5771195460700935e-09,8.0,1088.0,36275.0,0.36275,97645.0,OK,,,2.0,50.0,100000.0,"[-0.008240776332717652, 0.1639854867209357, -1.140079411959074, 27.06391905791827]","[20702.812717334727, 15076.527874593945, 45950.53777966408, 116715.63205210293]",,,,,Padé [2/1],3.646896468964691,10.509698360118282,0.9831449219954624,0.660070375081042,0.6828969304603305,-0.0168550780045375,0.4081259302996067,0.4081259302996067,7.70274510841773e-10,5.273408376638145e-10,3.0,11.0,36516.0,0.36516,96568.0,OK,,,2.0,50.0,100000.0,"[0.001470595745269275, -0.011984071548813958, -0.07498140737560138, 0.9641941388118493]","[29.983007803767418, 8.814943906452184, 77.79132130200304, 154.4948868837991]",,,,,Taylor degree 3,3.42574257425742,11.910147864491885,0.9740910490132372,0.0638071574871681,0.0672465940320112,-0.0259089509867627,0.1869720355923356,0.1869720355923356,0.0,9.69489288826786e-06,1.0,1.0,4455.0,0.4455,9702.0,OK,3.0,3.0,2.0,50.0,10000.0,"[-0.005859902050973862, -0.0014550468673447889, -9.032409448798148e-05, 1.1626085219773044e-18]","[0.8294453677511978, -0.08449516812377571, 0.011068529295481648, -0.0012629204947041982]",0.2569466152873761,0.0319006499081847,0.2569466152873761,0.0319006499081847,Taylor degree 3,2.7248724872487244,12.216611005973586,0.9859875713616162,-0.0041720876321503,-0.0042915140706045,-0.0140124286383837,-0.5138980514163598,0.5138980514163598,1.4417356197782285e-12,1.0416281170932962e-06,1.0,1.0,3629.0,0.3629,9848.0,OK,3.0,3.0,2.0,50.0,10000.0,"[-0.005635065654687266, -0.000926288066979796, -1.5062283360185863e-05, 2.8224771227108325e-06]","[0.8941152215064634, -0.052943043530048625, 0.0061693879764631535, -0.0005641433093405173]",0.2691424427928729,0.0257493551538712,0.2691424427928729,0.0257493551538712,Taylor degree 3,2.710471047104704,12.134639964162096,0.9826839330429716,0.0095770519755998,0.0099175439480918,-0.0173160669570282,-0.52829949156038,0.52829949156038,1.6564527527407338e-13,1.127663273203794e-06,1.0,1.0,3654.0,0.3654,9851.0,OK,3.0,3.0,2.0,50.0,10000.0,"[-0.005690426355970244, -0.0009669837825304793, -2.2340122170859793e-05, 2.159417324705494e-06]","[0.892932245833637, -0.0533200134770433, 0.0063907587571456256, -0.0005737376822394122]",0.2687621832489382,0.0259445956277073,0.2687621832489382,0.0259445956277073
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi0,0.3,0.2,0.2,76.0,156.0,0.0,random_like_3,,0.9999999999999999,3.3333333333333335,3.141313659672962,0.0195,0.006207042780583918,13.803109261762264,1.3264502315156905,2.722713633111154,1.2740903539558603,0.9731985935366054,0.5443334460120565,0.5155466452263777,10.942929241347283,"[0.1940591452551993, 0.0, 0.04838437911993354]","[0.023783657141855038, 0.07779283723956551, -0.18270909152852016]","[0.10313209001905156, 0.014887987416596977, 0.5342668062741179]","Padé, Taylor","0PN, 1PN, 2PN",2026-07-02T03:46:05,Padé [2/1],4.36450364503645,11.493579862890547,0.979703634189393,0.40660244275037477,0.4236239889310788,-0.020296365810606853,1.2231899853634882,1.2231899853634882,9.763523323158552e-12,1.9307222487441322e-11,4.0,16.0,57826.0,0.57826,95073.0,OK,,,2.0,50.0,100000.0,"[-7.055376020895991e-05, 0.0008321815315648063, -0.09198740781372172, 0.046536413116929916]","[1044.600604083518, 96.9107409333846, 434.68864034949945, 5869.386050650926]",,,,,Padé [2/1],3.482254822548228,11.075566770790388,0.9839800083160711,0.5533445006801935,0.5715089663181664,-0.01601999168392871,0.3409411628752661,0.3409411628752661,1.5904690897627916e-09,2.3776522084517637e-08,10.0,1009.0,49106.0,0.49106,96911.0,OK,,,2.0,50.0,100000.0,"[-0.037583783713939896, 0.6353451763153788, -3.811003861854009, 90.33372811153995]","[153735.34575022274, 23875.103625926247, 348054.1325625968, 870104.7831791163]",,,,,Padé [2/1],4.132181321813221,10.923385473462709,0.9856686910575719,0.5963685101631824,0.6138366003843743,-0.014331308942427977,0.9908676621402588,0.9908676621402588,1.100521673791377e-09,6.773951399807743e-09,10.0,12.0,48795.0,0.48795,95557.0,OK,,,2.0,50.0,100000.0,"[-0.03408278685306739, 0.5626354742731914, -3.3298465206100083, 77.84304285360253]","[30.409001037072795, -10.328388845408782, 93.03612337651879, 156.40404498554085]",,,,,Taylor degree 3,3.9633963396339595,11.997200393827972,0.9776057227579972,0.06198412252367293,0.06485642218990184,-0.022394277242002752,0.8220826799609977,0.8220826799609977,0.0,6.963775466850564e-05,1.0,2.0,5677.0,0.5677,9590.0,OK,3.0,3.0,2.0,50.0,10000.0,"[-0.00527431578942222, -0.0016564375056357325, -0.00013005408282432967, 1.937355072236223e-18]","[0.7638711434975414, -0.11209832191793324, 0.018972866664734054, -0.0026206073978038437]",0.2437702973993284,0.03827892370248638,0.2437702973993284,0.03827892370248638,Taylor degree 3,3.2433243324332395,12.214570056275686,0.9859079986875418,0.0062294015708930384,0.006408753209102835,-0.01409200131245818,0.10201067276027764,0.10201067276027764,1.66759939190797e-11,1.9973979418219656e-05,1.0,1.0,4853.0,0.4853,9740.0,OK,3.0,3.0,2.0,50.0,10000.0,"[-0.005039697412052967, -0.001197418544605964, -3.554153919767027e-05, 6.255916841865822e-06]","[0.8282971227881567, -0.08123156907391438, 0.013370853763966335, -0.0016520212931777655]",0.25238882521805295,0.034139291856532195,0.25238882521805295,0.034139291856532195,Taylor degree 3,3.147314731473145,12.20388308435883,0.9854776427845573,0.006834806791376034,0.007037731441813078,-0.014522357215442552,0.006001071800183055,0.006001071800183055,1.2276402117095131e-11,1.897749844936847e-05,1.0,1.0,4833.0,0.4833,9760.0,OK,3.0,3.0,2.0,50.0,10000.0,"[-0.005056408771958896, -0.0011963227193405855, -3.640662621618773e-05, 5.912428840235748e-06]","[0.8324152217063139, -0.07859854021886298, 0.01345382274075177, -0.0016083229570590832]",0.2527240704905644,0.033975777531225174,0.2527240704905644,0.033975777531225174
