config_id,status,error
q0.25_chi10.30_chi20.30_primary_aligned_secondary_antialigned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.30_chi20.30_primary_antialigned_secondary_aligned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.40_chi20.20_nearly_aligned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.40_chi20.20_nearly_antialigned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.40_chi20.20_primary_aligned_secondary_antialigned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.40_chi20.20_primary_antialigned_secondary_aligned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.45_chi20.30_nearly_aligned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.45_chi20.30_nearly_antialigned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.45_chi20.30_primary_aligned_secondary_antialigned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.45_chi20.30_primary_antialigned_secondary_aligned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.20_chi20.40_nearly_aligned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.20_chi20.40_nearly_antialigned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
q0.25_chi10.20_chi20.40_primary_aligned_secondary_antialigned,failed,"Traceback (most recent call last):
  File ""/tmp/ipykernel_45746/475402887.py"", line 57, in <module>
    final_row = compute_one_configuration(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/3103085269.py"", line 4, in compute_one_configuration
    file_path = get_precession_file_from_row(
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/ipykernel_45746/2950549654.py"", line 85, in get_precession_file_from_row
    raise KeyError(
KeyError: 'No precession file path column found. Add the correct column name inside get_precession_file_from_row.'
"
