PN_order,degree,sigma_power,n_tests,median_stability_score,max_stability_score,median_nrmse_Ebind,median_nrmse_chi,median_nrmse_S,max_nrmse_S,median_bias_S,max_abs_residual_S
2PN,4,4.0,5,0.04637788465752427,0.07484048812395117,3.713368093749884e-05,0.02311851313918345,0.023222237837403324,0.036203536392174045,-0.0018192744094324205,0.022075706663670758
2PN,4,3.0,5,0.05273200156145216,0.08020943116942256,4.0824697825857694e-05,0.026278989640505332,0.026412187223120973,0.0388123468533411,-0.002087765276613628,0.023543417499938712
2PN,4,2.0,5,0.059964108185454834,0.08596676520626798,4.488777660535397e-05,0.029874639643468315,0.03004458076538117,0.04161118974398418,-0.0023967598539135606,0.02510837535558963
2PN,4,1.0,5,0.06820174820530292,0.09214264459506927,4.936360496628065e-05,0.033968332421344415,0.034184052178992216,0.04461497304611607,-0.002752760270250355,0.026777472441276373
2PN,3,4.0,5,0.16798106363588883,0.22426413168214498,0.002681880373692257,0.08255080448654223,0.08274837877565433,0.10650112561003615,0.0070355819747335985,0.05754502905167769
2PN,3,3.0,5,0.19156344803265357,0.24067871879518457,0.002975272704147848,0.0941674213969713,0.0944207539315344,0.11432536396689458,0.00811443496916252,0.06133136255522764
2PN,3,2.0,5,0.21846098977456802,0.2582932393900593,0.0033009900885254168,0.107420377862698,0.10773962182334461,0.12272191850217143,0.009361594495939497,0.06535638619260808
2PN,3,1.0,5,0.2629103147837739,0.2772118548178498,0.0038598226536153673,0.12562596939700607,0.12737816852527223,0.1349418339058722,0.01080652405272441,0.06963774008289825
2PN,2,4.0,5,0.6576723178744217,0.736994501023293,0.048485099994924286,0.2995880664977604,0.3118977215690536,0.3408334757519107,-0.028867796630540312,0.16153417882522092
2PN,2,3.0,5,0.7737864482393914,0.8504535893941503,0.05266401865066054,0.3583764614539086,0.3632789021842509,0.413447508221053,-0.03365279154634927,0.1729361183865521
2PN,2,2.0,5,0.8655169435692529,1.1223923867769197,0.057363207213462115,0.4019241583337636,0.4127586631758299,0.5481654589838943,-0.03923618692917954,0.18509868528350992
2PN,2,1.0,5,0.9932851371989424,1.4825545493805592,0.06352769485326444,0.4542403352320686,0.47551710711360934,0.727392374398949,-0.04578128254331743,0.1981098806922148
