PN_order,method,pade_order,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
0PN,Padé,2/1,3.0,13.0,10.0,29.75413675266349,3596,1140,success,,2000,0.001510124550968769,6.366422773800565e-05,0.00026438793763172393,2.1265923965634316e-05,5.827667546753901e-05,0.0018381767163384985
0PN,Padé,2/1,4.0,13.0,10.0,29.75413675266349,3596,1140,success,,2000,0.0013046858437658715,5.6118337044069236e-05,0.0002295784782015428,1.8192595656804755e-05,5.155228883602092e-05,0.0015903826590114836
0PN,Padé,2/1,1.0,14.0,10.0,29.75413675266349,3274,1462,success,,2000,0.0019590243281293962,7.516992390738033e-05,0.0003065530727552079,3.303011296603486e-05,9.627470410400463e-05,0.0023407473247919843
0PN,Padé,2/1,2.0,14.0,10.0,29.75413675266349,3274,1462,success,,2000,0.0017546840050359344,6.835009381037488e-05,0.0002755872676511729,2.927671773391083e-05,8.793546737351221e-05,0.0020986213664974823
0PN,Padé,2/1,3.0,14.0,10.0,29.75413675266349,3274,1462,success,,2000,0.0015722112163725826,6.233080595398574e-05,0.00024801559797034666,2.5994840875799064e-05,8.033882717128904e-05,0.0018825576202969152
0PN,Padé,2/1,4.0,14.0,10.0,29.75413675266349,3274,1462,success,,2000,0.001408120784766317,5.798607889319987e-05,0.00022437028910771725,2.327868726356197e-05,7.36057881294272e-05,0.0016904771527672339
0PN,Padé,2/1,1.0,15.0,10.0,29.75413675266349,2975,1761,success,,2000,0.0019386264769994705,7.125502622377912e-05,0.00027595700621164607,3.6463406093164785e-05,0.00011828733140006875,0.002285838509434896
0PN,Padé,2/1,2.0,15.0,10.0,29.75413675266349,2975,1761,success,,2000,0.001782186916511114,6.643786346230425e-05,0.0002545783925234768,3.323840530376021e-05,0.00011047035991751386,0.002103203172496895
0PN,Padé,2/1,3.0,15.0,10.0,29.75413675266349,2975,1761,success,,2000,0.0016388357062036881,6.194340482348604e-05,0.00023491193265957782,3.031922488095695e-05,0.00010315200283095294,0.001935691043686752
0PN,Padé,2/1,4.0,15.0,10.0,29.75413675266349,2975,1761,success,,2000,0.0015064968714631566,5.772870087834685e-05,0.00021669417697518635,2.7658142896520133e-05,9.625484247877125e-05,0.0017809197493166898
1PN,Padé,2/1,1.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.039893415193721055,0.003940634603574184,0.007843639352325169,-0.00027153015993956677,0.00046392084768420716,0.051677689149620405
1PN,Padé,2/1,2.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.03716924632059603,0.0031629957813772325,0.006758666670220198,-0.00023149383574530446,0.00041140910002468445,0.04709090877219346
1PN,Padé,2/1,3.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.034155365099442135,0.002544763068551789,0.00581991471625689,-0.00019707847438600102,0.00036423334730883994,0.04252004288425081
1PN,Padé,2/1,4.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.033739191917193635,0.0020599639897077118,0.0052600587069486695,-0.00017605742248050316,0.00033773523259483795,0.041059214613850016
1PN,Padé,2/1,1.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.026753299483274755,0.0026349544294963917,0.004937970207631011,-0.00032618406852722614,0.0007213034191426715,0.034326224120402156
1PN,Padé,2/1,2.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.03000045349840513,0.0022816411934440963,0.004833242499759169,-0.00031551369143250697,0.000718489155616453,0.037115337191608394
1PN,Padé,2/1,3.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.030573773753309552,0.0019827000834274043,0.004566606315687027,-0.0002943107459057526,0.0006916976260562535,0.037123080152423986
1PN,Padé,2/1,4.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.030553672533866896,0.0017264425122553834,0.004296447882912573,-0.0002732824791918782,0.000663025484037405,0.03657656292903485
1PN,Padé,2/1,1.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.02995099622188391,0.0023319881394897072,0.00458551794581258,-0.0004422420943649783,0.0011400924919140465,0.0368685023071862
1PN,Padé,2/1,2.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.05055601424770494,0.0020494286654649907,0.005828296766623106,-0.0005551696598557739,0.0014680469410119912,0.05843373967979304
1PN,Padé,2/1,3.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.03068795207905843,0.0018038511983346594,0.004102356438107968,-0.00038499685675114304,0.001054196835616139,0.036594159715501055
1PN,Padé,2/1,4.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.01915622287297079,0.0016437681537378782,0.003081342318190352,-0.00028473013044229934,0.0008091023716865209,0.02388133334489902
1PN,Padé,2/1,1.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.05164455087214969,0.001929986678269051,0.0053899519497845536,-0.00067669459208782,0.001984245941420326,0.0589644895002033
1PN,Padé,2/1,2.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.04829325958866118,0.0018304924779887312,0.005064187251253271,-0.0006292855339606876,0.0018854975991384748,0.05518793931790318
1PN,Padé,2/1,3.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.015365162060540831,0.0017240030838102831,0.0027236258895325695,-0.0003327625306482176,0.0010411670595011913,0.019812791033883684
1PN,Padé,2/1,4.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.014774417954730262,0.0016059782858984792,0.002567397444402126,-0.00031059183886099806,0.0009920746614753284,0.018947793685030866
1PN,Padé,2/1,1.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.04913693342877974,0.0017870813925328474,0.004738967972229111,-0.0007322808167598041,0.0023861712409747327,0.055662982793541704
1PN,Padé,2/1,2.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.04684738989990511,0.0016842084620455717,0.004498523044829513,-0.0006889786122684081,0.002285945057344918,0.0530301214067802
1PN,Padé,2/1,3.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.015201390448973078,0.0016221807555580046,0.002473123229451744,-0.00037373389013249534,0.0012856597380466184,0.019296694433982825
1PN,Padé,2/1,4.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.016516750379135976,0.0015402461745848575,0.002477514141199364,-0.0003720040236869702,0.001295094242120598,0.0205345106949202
2PN,Padé,2/1,1.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.03313021362346517,0.0032041207302079275,0.0003412089266749984,1.0357572752515587e-05,2.2045467954256992e-05,0.03667554328034809
2PN,Padé,2/1,2.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.031167962158091946,0.0025699549150640945,0.00017805262889856514,-6.296849046449893e-06,6.749762430757755e-06,0.033915969702054606
2PN,Padé,2/1,3.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.053311144348317,0.0020655424221077993,0.0028002881498408027,-9.22345185334228e-05,0.0001634448281127021,0.0581769749202656
2PN,Padé,2/1,4.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.030042238318926863,0.001661421100379886,0.0010445469566714744,-3.4302029096288324e-05,6.154015486181663e-05,0.03274820637597822
2PN,Padé,2/1,1.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.02414332958419065,0.002521595477734708,0.0005927816637516705,3.652222730112698e-05,8.44536285207198e-05,0.027257706725677025
